X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Cluster
15,23,117,155,167,283,401,476,640,656,712,939,1011,1018,1149,1388,1730,2349,2418,2884,3205,3409,3560,3573,Good
0,0,11,11,11,28,70,136,469,594,806,928,1032,1162,1199,1261,1380,1482,1542,1604,1755,1890,1890,1933,Good
0,52,57,78,81,107,214,223,462,608,825,1226,1462,1611,2021,2158,2244,2512,2915,3004,3099,3535,3789,3789,Good
0,36,93,102,181,204,204,394,459,497,674,860,956,1155,1259,1530,1647,1788,2003,2062,2242,2282,2396,2396,Good
0,43,68,156,176,413,541,619,846,1018,1278,1417,1573,1803,2083,2414,2897,4034,4318,4797,5292,5804,6007,6007,Normal
0,18,64,92,92,203,263,379,496,546,715,999,1098,1336,1911,3302,4402,5217,6538,7573,9097,9242,9601,9727,Normal
157,190,270,356,552,760,1109,1783,2240,2377,4991,6188,7005,8843,9561,10046,11332,11756,12572,13216,13762,14200,14443,14802,Bad
234,248,391,551,573,689,827,1068,1347,1574,1755,1944,2354,2688,3091,3635,4141,4594,4786,6164,6689,7217,7984,8184,Normal
0,78,131,286,286,377,653,744,1235,1328,1582,1714,1944,2287,2932,3163,3580,3768,4130,4677,5147,5218,5526,5712,Normal
0,17,65,65,74,127,191,313,470,516,592,962,1001,1062,1121,1225,1476,1598,1708,1729,1839,1922,1957,1981,Good
0,19,27,32,32,74,153,210,267,283,368,480,499,586,807,1187,1229,1397,1536,1634,1793,1813,1828,1828,Good
0,3,44,46,52,69,147,214,228,1630,1757,1910,1982,2154,2199,2422,2423,2485,2516,4046,4083,4163,4163,4185,Good
0,21,417,424,431,479,640,752,837,1041,1145,1351,1496,1598,1713,1867,2072,2206,2460,2598,2689,2851,3048,3051,Good
66,93,116,116,146,226,342,399,661,736,835,1270,1475,1559,1904,2149,2682,2949,3138,3576,3842,3979,4251,4251,Good
119,186,206,208,251,278,483,672,753,967,1201,1434,2749,2842,3200,3231,3488,3635,5174,5537,5635,5949,6251,6457,Normal
0,0,1,47,47,115,271,359,452,502,552,2136,2495,2620,2647,3029,3165,3413,3437,3646,3805,3821,3889,4090,Good
6,9,31,31,40,174,201,489,556,1285,2558,2817,3171,4229,4916,5790,6284,7108,8157,8712,9502,10238,11391,11598,Bad
0,41,136,139,166,173,233,523,834,911,1158,1603,1912,2141,2642,3537,4061,4860,6098,6726,7658,8308,9504,9620,Normal
0,18,37,252,252,327,391,679,775,905,1204,1663,1979,2551,3294,3707,4652,5183,5773,6741,7354,8095,8596,9354,Normal
8,28,239,246,246,327,333,464,697,1924,1982,2122,2505,3644,3874,3974,4078,4188,4323,4513,4574,4665,4665,4665,Good
0,5,32,32,48,158,168,287,657,1052,1274,2128,2652,3189,4278,5142,5587,6460,7995,8624,9458,10159,10975,11594,Bad
89,89,145,151,151,216,309,351,488,581,944,1088,1505,1571,1715,2511,2830,3054,3588,5084,5621,6365,7024,8353,Normal
352,555,1185,1366,1366,1418,1677,1707,1824,2063,2469,2796,4108,4431,4960,5594,6429,7351,8277,8692,9662,9871,10159,10620,Normal
635,1109,1624,1681,1780,2366,3037,3680,4589,5181,6247,7111,7981,9566,10966,11489,12884,15086,16700,17877,20166,21941,23304,24663,Meltdown
300,757,1268,1443,1649,1826,2433,3302,4057,4615,6422,7298,8938,9461,10798,11260,12683,14460,15424,16325,17313,18529,19525,20556,Meltdown
0,192,276,354,451,470,1691,3898,4138,4197,5519,6701,6833,6993,7293,7351,7540,7603,7686,7739,7786,7855,7904,7951,Normal
0,0,20,20,23,58,222,298,528,553,726,750,947,989,1085,1194,1316,1376,1402,1475,1667,1759,1893,1893,Good
0,0,21,45,52,112,163,211,381,494,565,669,879,1061,1345,1706,1967,2232,2716,3009,3264,4581,4643,4736,Good
187,187,210,295,300,378,523,543,1374,1637,2051,2273,2617,3150,3427,3799,3863,4148,4602,4925,5026,5162,5482,5531,Good
0,0,27,36,42,78,104,351,517,672,759,1101,1271,1316,1741,1805,2066,2259,2700,2867,3204,3288,3394,3445,Good
0,9,40,47,47,88,117,156,300,330,384,911,949,1263,1361,1598,1701,1775,2007,2210,2286,2329,2484,2484,Good
0,4,44,44,89,161,248,301,333,629,772,888,1148,1640,1843,1971,2560,3001,3512,3692,3998,4349,4661,4777,Good
0,154,250,275,332,403,448,529,580,827,887,999,1066,1458,1507,1617,1981,2007,2131,2181,2477,2490,2490,2531,Good
150,167,265,290,448,535,813,988,1176,1504,1606,1913,2154,2696,2882,3363,4152,4877,5389,5888,6464,7429,7990,8217,Normal
131,137,347,437,508,556,632,706,827,1007,1049,1475,1663,1788,1898,2084,2576,3127,3295,3708,3764,4012,4447,4517,Good
3,3,31,67,88,147,333,381,464,490,575,1634,1755,2049,3127,3269,3474,3937,4223,4354,4447,4561,4836,4871,Good
458,631,789,895,895,1198,1399,2562,2583,2700,3877,4259,4463,4940,5036,5514,5643,6218,6592,6956,7378,7616,7881,8089,Normal
0,0,126,191,191,299,329,396,495,529,601,685,806,812,1001,1063,1240,1438,1651,2226,2358,2358,2739,2830,Good
6,50,96,96,102,149,167,203,262,262,327,380,494,514,615,667,694,779,1248,1265,1339,1361,1361,1603,Good
0,13,22,41,41,117,150,333,629,889,950,983,1315,1401,1457,1685,1715,1973,2119,2294,2952,3329,3607,3742,Good
1190,1579,1610,1644,2619,2829,2913,3008,3333,3518,3707,3788,3912,4805,5529,5964,6643,7212,8381,9435,10775,12269,13116,13558,Bad
140,546,594,612,720,863,1153,1230,1319,1511,1624,1697,1771,1830,1953,1985,2008,2143,2204,2301,2463,2711,2729,2741,Good
0,0,5,5,5,76,95,103,171,203,229,301,364,381,472,555,616,755,834,889,1062,1160,1244,1244,Good
0,0,9,32,41,89,203,393,471,740,766,1007,1096,1387,1462,1662,2044,2275,2479,2702,2808,3021,3363,3379,Good
27,53,134,196,218,350,408,841,1697,1936,2356,2689,3480,3701,4638,5146,5733,6818,7635,8566,8916,10251,11437,11772,Bad
489,1016,1106,1570,1783,1935,2972,4353,4378,4523,6739,6827,7017,7165,9373,9616,10299,11144,11916,13342,14005,14711,15957,16109,Bad
0,0,58,73,125,211,557,685,781,992,1173,1359,2123,2588,3303,3706,4515,5256,5721,6382,7395,7813,8160,8250,Normal
26,60,108,147,211,300,491,516,599,643,668,781,964,1330,1532,1756,2260,2569,2839,3065,3243,3266,3266,3316,Good
4,15,93,116,116,369,896,922,1368,1711,2142,2435,3796,4580,5169,6256,7522,8726,10295,10975,12581,13734,14725,15918,Bad
153,155,333,446,1159,1235,1455,1761,2117,2339,2573,2980,3148,3523,3759,4393,4598,5041,6056,6753,7423,7623,8465,8676,Normal
0,1,181,270,319,411,579,666,1091,1289,1363,1452,1550,1892,2111,2338,2643,2992,3384,3668,3997,4396,4435,4575,Good
0,0,35,35,35,123,153,288,1592,1696,2268,3715,4064,4466,4681,4923,5205,5680,5996,6124,6283,6285,6490,6490,Normal
0,0,24,81,84,100,110,269,293,309,408,454,665,717,915,1068,1422,1576,1948,2002,2122,2507,2573,2574,Good
0,335,464,844,855,978,1203,1241,1429,1516,1639,1746,1862,1911,2187,2349,2686,3033,3444,4142,4611,5122,5253,5541,Good
174,239,316,606,735,951,1238,1334,1584,1798,1933,2160,2369,2627,2809,3124,3587,3968,4281,5571,6339,7206,8070,8872,Normal
0,58,106,113,113,164,432,594,632,687,830,923,946,1144,1486,1743,2412,2706,3163,3701,3906,4314,4802,4999,Good
0,1,70,83,163,245,348,405,723,928,947,1231,1623,2007,2089,2628,3117,3412,3532,3701,4311,4403,4650,5021,Good
5,5,43,140,149,193,288,400,600,900,1340,2209,2585,2683,3316,4299,4543,4710,5123,6021,6153,6647,7290,7290,Normal
113,115,238,300,303,331,440,495,530,707,749,819,1132,1287,1329,1585,2088,2368,2448,2665,2978,3564,3675,3710,Good
670,716,809,905,1493,1697,1904,2078,2351,2482,2657,2864,2982,3103,3375,3667,3873,4195,4335,4550,4810,5043,5124,5124,Good
0,188,270,289,296,352,404,497,554,654,698,812,1996,2106,2689,3083,3893,4854,5943,7643,8781,10532,11434,11725,Bad
557,596,626,639,698,754,1032,1208,1524,1729,2003,2211,2684,2971,3361,3767,4141,4903,5466,5847,6165,6773,7495,7638,Normal
116,134,249,336,336,455,754,2165,2486,2934,3458,3661,4375,5134,5602,6501,7914,8877,9804,11383,12387,14191,15190,15854,Bad
1473,1637,1716,1970,2046,2266,3349,3701,3887,4356,4649,5256,5637,6074,6539,7500,8366,9636,10751,11530,12572,13281,13719,14295,Bad
0,9,85,102,114,189,281,303,416,467,671,784,1066,1285,1471,1858,1990,2409,3268,3915,4457,4836,5065,5141,Good
23,248,253,258,261,342,460,491,590,656,793,971,1052,1260,1562,1796,2266,2580,2970,3422,4060,4550,4626,4626,Good
2,20,78,114,123,152,186,252,329,518,712,794,939,1205,1348,1591,1770,2072,2470,2796,2928,3349,3441,3590,Good
0,8,47,230,363,471,637,669,782,820,874,887,997,1054,1057,1198,1335,1738,1868,2276,2306,2327,2372,2427,Good
500,514,541,578,584,591,646,684,792,2425,2476,2584,2652,4183,4299,4430,4560,4822,5028,5130,5247,5416,5683,5739,Normal
6,12,101,184,199,289,315,435,839,867,1011,1363,1388,1750,1857,1961,2277,2724,3418,3881,4503,5024,6087,6307,Normal
239,431,535,605,701,869,1018,1203,1413,1558,1795,2216,2693,2936,3218,3735,4695,5639,6154,6828,7740,8449,8876,9224,Normal
183,441,492,667,709,742,1533,1599,1733,2128,2237,2321,2428,2607,3244,4254,4925,6100,7285,8240,9916,11371,11994,12392,Bad
0,602,902,1032,1067,1196,1434,1552,2913,3152,3234,3359,4588,5558,6187,6397,7520,8502,9091,9505,10392,11036,11279,11380,Bad
95,95,176,239,255,509,756,830,1154,1469,1641,1935,2215,3358,3593,4253,5797,7320,7928,8811,9728,10826,12032,12403,Bad
234,642,1121,1178,1286,1327,1372,1568,1649,1696,1937,2089,2266,2359,2969,3159,3625,4133,4580,5016,5481,5575,6261,6518,Normal
245,410,430,551,554,600,796,967,1137,2429,2615,2765,4177,5813,6139,6420,6654,7107,7437,7600,7718,8030,8358,8406,Normal
31,34,78,149,241,341,1308,1481,1661,1678,2705,2996,3219,3314,3522,3763,5635,6681,7088,7825,8604,9630,9809,10130,Normal
421,427,494,609,798,929,1145,1250,2333,2509,2530,2748,3808,4233,4305,5105,5600,6682,7266,8205,9151,9860,10851,11408,Bad
0,354,429,430,519,552,722,1486,1553,1891,2028,2556,2792,3096,3212,3412,4035,4706,5068,6222,6786,7578,8741,9157,Normal
13,304,332,333,344,505,641,687,730,953,1084,1118,1182,1696,3166,3418,4111,4955,6061,6613,7065,8116,8900,9016,Normal
68,379,460,493,518,651,785,841,915,1033,1036,1214,1347,1435,2186,2513,3695,5571,6953,8416,9831,11100,11875,12191,Bad
1,43,121,187,194,224,257,312,332,340,343,1294,1330,1506,1609,1743,2419,2432,2749,2875,3146,3376,3664,3840,Good
34,39,122,312,349,389,456,588,663,701,758,810,926,1059,1185,1354,1610,2042,2452,2670,2984,3593,3701,4106,Good
132,143,289,481,608,879,1027,1138,2440,2519,3134,3954,4207,4506,5164,5516,6299,7846,8472,8941,10633,11271,11573,12258,Bad
983,1026,1093,1390,1486,1488,1685,1791,1896,1981,2161,2203,3633,3686,4050,4305,4683,5125,5610,5944,6459,6764,6893,6957,Normal
194,200,237,239,271,317,421,468,684,858,911,1179,1294,1347,1574,1957,2579,3103,3988,5281,6185,6697,8048,9135,Normal
317,529,928,1073,1294,1450,1480,1500,1834,1998,2082,2196,2443,2634,2764,2842,3376,3601,3758,3973,4221,4404,4629,4663,Good
296,655,848,978,985,1087,1132,1318,1403,1495,2057,2809,3000,3501,3993,4458,4824,5673,6007,6794,7356,7657,8349,8433,Normal
173,250,353,380,468,480,607,724,1058,1199,1504,2025,2843,3640,4148,4835,6582,7579,8388,9273,9818,10816,11660,12032,Bad
6,46,87,114,166,207,290,374,405,412,515,807,836,1044,1200,1949,3531,4173,5718,6584,8025,10311,11881,13197,Bad
310,1258,1344,1631,1760,1996,2340,4197,4560,5599,6441,6767,8427,10631,11442,12305,13781,15651,17266,18948,22243,23604,25722,26941,Meltdown
874,1161,1345,1614,1718,1971,2336,2777,3111,3906,5754,6172,8124,9852,10893,11763,12767,13625,14983,15970,17307,18368,18900,19241,Meltdown
647,697,770,779,783,918,1286,1601,1888,2277,2390,2740,3084,3724,4185,4477,5398,6424,7488,9024,10567,12700,13446,14423,Bad
437,884,1332,1336,1551,2615,2862,2911,3406,3692,4098,4330,4658,5282,5894,6410,7123,7927,8621,9357,9628,10215,11015,11082,Bad
176,255,281,342,583,624,706,812,1115,1190,1385,1597,1910,2186,2715,3534,4396,5331,6714,8247,9412,10922,12142,12992,Bad
7,216,305,350,397,616,688,882,1304,1347,1458,1613,1894,2014,2204,2688,3049,3513,3775,4441,5254,5437,6157,6573,Normal
98,98,206,249,258,385,557,1337,1847,2359,3884,4029,4529,4908,6017,6323,7354,8298,9366,9836,11184,12087,13134,13631,Bad
256,417,574,592,689,820,1125,2863,3152,3249,3491,3909,4224,4842,5586,6177,6703,7921,8562,9288,9704,10857,11102,11491,Bad
174,373,459,824,963,1123,1222,1314,1635,1789,2982,3318,3991,4763,5615,6956,8017,9518,11087,12594,15126,16139,16851,17609,Bad
368,1073,1173,1419,1697,1849,2036,2299,2717,3097,3737,4154,4906,5944,6477,7164,7965,9182,9683,10828,11875,12333,13735,14230,Bad
195,264,588,718,1087,1238,1609,1820,2220,2506,2517,2970,3557,4435,4732,5036,5442,5899,5977,6443,7011,7333,7363,7482,Normal
237,251,282,340,341,479,578,632,824,854,892,1008,1372,1393,1535,1729,2532,2953,3109,3510,3686,3895,4206,4230,Good
66,70,93,152,173,240,409,552,784,934,1148,1313,1447,1825,1954,2300,2645,3082,3413,3858,4831,5362,5675,6091,Normal
407,407,429,613,625,901,1125,1232,1383,1763,1803,2033,2144,2611,2961,3169,3523,4309,5664,6980,7808,9011,9617,10530,Normal
230,311,437,533,556,674,863,2373,3066,3265,3880,5093,6046,6793,7505,7807,8703,10283,11801,13622,14602,15998,16582,16850,Bad
163,621,896,1056,1210,1622,1948,2301,3467,4345,5467,6371,6972,7751,8857,11092,12312,14433,17776,19282,21229,23234,24556,26611,Meltdown
327,330,392,436,543,558,775,885,1268,1438,2596,2713,2728,3774,3932,4018,4233,4449,4968,5186,5431,5786,6355,6633,Normal
90,114,180,247,394,418,527,646,763,782,1006,1335,1579,1848,2040,2627,3417,3997,4617,5502,6215,6726,7424,7508,Normal
261,269,285,348,409,455,563,581,625,653,653,683,704,814,1004,1091,1484,1945,2558,3052,3508,4569,4645,4995,Good
290,306,363,403,439,454,605,1877,2371,2401,3645,3973,4264,4341,4645,4994,6070,6503,7054,8145,8694,9392,9594,9827,Normal
380,413,439,473,514,522,789,966,1082,1502,1721,1904,2098,2662,2951,3115,3433,3998,4831,5734,6346,7218,8402,8799,Normal
305,555,688,688,820,875,1103,1120,1179,1528,1761,1823,2070,2259,2703,3538,4520,5565,7090,8754,10094,11332,12129,12740,Bad
143,370,409,450,463,525,679,862,887,949,1288,1674,1684,1896,2426,2568,3089,3571,4269,4374,4702,4947,5604,5770,Normal
170,252,315,328,419,466,655,825,874,1023,1103,1186,1226,1295,1453,1572,1646,2002,2142,2291,2435,2524,2579,2605,Good
18,18,74,81,124,144,333,442,644,691,827,924,1299,1998,2359,3117,3476,4142,4697,5053,5613,5968,6182,6330,Normal
472,874,881,905,935,960,1046,1182,1697,1798,2171,2782,3215,3756,4148,4369,4726,5079,5251,5482,5541,5768,6168,6352,Normal
1,1,39,62,68,70,291,496,908,1293,1722,1905,2067,2550,3100,3935,4682,5968,6723,7649,8470,9941,11038,11142,Bad
1093,1473,2378,2450,2554,2683,2814,3003,3376,3800,3848,4150,4421,4460,4824,5176,5852,6461,6892,6985,7648,7770,8091,8154,Normal
575,580,621,637,706,743,1227,2388,2587,2720,2938,2999,3125,3342,3526,3613,3887,4035,4184,4439,4957,5232,5595,5623,Normal
0,10,40,41,52,139,471,513,819,906,1120,1282,1634,1953,2406,2823,3209,3660,4086,4701,5567,5829,6049,6541,Normal
3,3,51,114,162,191,802,1054,1095,1418,1894,2762,3321,3820,4293,4479,5283,5762,6270,6919,7493,8196,8326,8410,Normal
0,0,2,44,50,53,104,333,434,452,534,673,725,785,866,1105,1501,1996,3399,4282,4770,5840,7234,7757,Normal
341,341,589,655,780,795,854,1261,1508,1659,2302,2628,2779,3064,3462,4027,4648,5223,6167,6894,7906,8751,9441,10185,Normal
0,5,23,31,38,57,123,136,1366,1509,1527,1786,1970,2065,2302,2783,3111,3613,4316,4834,5387,6592,6762,6762,Normal
106,111,114,186,188,231,242,242,286,291,321,411,412,464,538,639,770,811,837,914,1166,1200,1211,1211,Good
0,0,20,36,117,145,229,279,306,359,376,525,531,676,768,871,1122,1345,1582,1753,2146,2365,2399,2399,Good
0,0,0,68,170,284,474,614,1004,1070,1335,1610,1910,2073,2205,2561,3027,3160,3696,4031,4759,4872,5201,5201,Good
0,7,15,86,220,306,506,728,981,1228,1423,1942,2203,2405,2789,3292,3483,3764,4309,4481,4872,5037,5049,5049,Good
0,1,1,71,272,400,743,920,1597,1825,2331,2955,3321,3532,3738,4306,4558,4699,5050,5117,5300,5329,5526,5751,Normal
0,0,1,67,83,210,439,688,999,1007,1574,1661,1813,1859,1936,2010,2155,2240,2294,2325,2464,2544,2569,2569,Good
0,13,96,112,112,121,166,188,1134,1134,1290,1473,1738,1993,2528,2635,3505,3796,4064,5074,5859,6081,6081,6238,Normal
115,115,115,115,193,193,210,240,286,286,306,306,306,368,519,537,616,850,895,933,933,961,974,1241,Good
