"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","Cluster"
"379",261,279,295,943,2743,4076,5181,8450,12597,16667,18838,22283,25461,29320,31988,35399,38897,42740,45612,49459,53465,54900,56263,56997,"Good"
"380",107,228,244,511,860,1647,3331,5453,8494,10274,12545,14414,17312,19734,22589,25430,28347,32748,36346,40213,42253,43580,44249,44508,"Great"
"381",242,262,271,655,1137,1886,3732,4536,6333,7757,11698,13433,16904,19990,23483,28286,34074,39711,43935,48721,54721,58242,59934,60754,"Good"
"382",568,1082,1745,3094,3530,4736,6467,12005,17245,22374,26460,30556,34798,39791,45650,50115,57590,65432,72686,79966,84407,85929,87143,87673,"Normal"
"383",910,914,986,1594,2099,3985,6297,8954,15532,19166,23237,30644,36751,42473,49459,57215,64718,74720,82558,90892,97264,100333,101533,102733,"Normal"
"384",0,0,17,1860,3521,6705,12246,16480,23420,27890,32986,40066,45724,52922,60439,69226,74902,84402,91479,98855,102812,105945,112563,118024,"Bad"
"386",65,98,184,1236,2175,5321,8075,12972,18394,22670,26969,32195,38312,44681,51036,61072,69205,79094,89080,98013,106333,111607,115874,119628,"Bad"
"387",1019,1423,1423,3357,4532,7004,8526,13042,19988,27062,37860,46053,57296,69369,80240,91547,101696,114129,123691,134301,145485,153718,158510,159414,"Meltdown"
"389",178,178,213,692,1064,4735,8115,13300,16834,22066,29457,40398,50598,60325,72170,83639,95290,108554,121366,130706,140932,143796,147482,148485,"Bad"
"390",1323,1761,2181,3752,5256,8218,14200,17923,22348,27094,31325,35538,42286,48224,55159,60916,68308,77085,87497,94512,100241,105906,109533,110501,"Bad"
"391",600,650,708,2125,3255,4478,6928,9600,10946,12978,15174,17266,20506,22058,26414,31202,35501,39923,44763,48666,53120,56980,57856,58342,"Good"
"392",0,8,26,329,902,2134,3118,5359,7830,9783,12475,15093,17969,21356,27009,30862,34607,40302,44656,47992,51241,53246,54721,55094,"Good"
"393",242,263,263,1446,3371,7013,11597,16015,24067,31804,39075,48904,63018,74525,85617,95436,105660,117247,123542,135323,144716,156110,161441,163991,"Meltdown"
"394",1190,1347,1431,2235,3729,6488,11094,14746,21382,26761,30428,34821,40970,45708,52118,58902,64073,73355,80361,88421,95074,98423,100118,100620,"Normal"
"399",118,330,368,745,1139,2818,4904,7025,10046,12189,16163,19419,22060,25422,30263,32439,36303,40143,42175,44395,47864,49856,50067,50633,"Good"
"400",113,256,275,438,1213,2129,6832,9090,12612,15014,17718,20137,23766,27317,30904,35507,40100,43314,47666,51067,53338,55188,56080,56598,"Good"
"403",0,0,5,420,735,3227,6069,11017,15903,23711,28811,36264,44442,50980,59099,66648,74141,82236,92853,102866,108940,114466,116419,117327,"Bad"
"404",161,388,388,1966,3194,7011,8791,10308,13116,15801,19657,22691,26726,30402,32900,38934,44260,50923,57089,62999,67023,70604,72699,73325,"Good"
"405",924,1264,1388,3328,3630,5852,6943,10378,12093,14609,18690,20584,23838,27066,31880,34296,36793,39923,42593,46939,48282,51078,51471,51471,"Good"
"406",0,1,1,280,450,1397,2437,4367,7507,10739,13717,17658,23420,30638,35482,42626,50337,58573,67457,74293,82271,87224,90144,91776,"Normal"
"407",596,996,996,1516,5546,7869,10495,14999,18792,22617,26732,31262,34616,39188,43304,48819,53105,59497,65996,73714,78991,82328,85365,86965,"Normal"
"408",740,740,1099,2282,4060,7542,12982,16912,22848,30115,37154,44693,53294,62286,71750,82263,94229,105717,117668,131085,138918,145820,150298,151839,"Bad"
"409",810,1532,1940,3177,5513,8096,10816,14363,18968,23498,28167,33138,37501,41059,46247,51550,56033,61187,67724,73930,81078,85261,88753,90874,"Normal"
"411",227,575,834,1485,2987,4337,9279,13649,18621,23263,27003,30849,35685,40488,44919,48916,55052,61102,65776,69823,73849,76516,78375,78506,"Normal"
"412",2662,2765,2899,3174,4732,7756,9780,12380,14796,17269,21276,24474,26673,30627,32814,36991,42262,46274,50497,55176,57369,58577,58709,58817,"Good"
"414",2576,3713,3716,4617,7519,11776,21432,28636,41283,51913,59725,69986,77466,84341,90483,97946,104355,111892,120574,128228,132956,136864,137464,138316,"Bad"
"415",2,44,79,1625,2226,2882,8816,13345,17277,21318,25243,30047,34454,37609,42549,47278,51313,56559,60490,64415,67320,69137,70326,70926,"Good"
"416",5,283,385,3182,4043,7793,13634,22872,31446,41515,52227,64168,78900,92060,103754,116397,130252,145088,159502,170874,182401,191189,196127,198469,"Meltdown"
"417",1680,2348,2905,4660,6197,8051,11237,15853,22419,25245,29581,33382,38953,44700,49837,54350,60101,65592,70318,75262,78556,80201,80971,81744,"Normal"
"418",232,258,267,610,996,2871,5128,7010,10994,13044,15694,19549,22856,27270,32191,37235,42378,47915,52500,57891,63009,66923,68838,71765,"Good"
"419",2612,3187,3437,4607,5082,8362,11225,13950,18939,25414,33182,39383,49473,56661,66220,72634,79890,86085,93280,98275,102415,105165,105431,105616,"Normal"
"424",457,503,530,1401,2379,3551,5561,8437,17318,21503,26842,33900,39959,46186,52946,58583,65288,70239,77059,82348,85724,87738,88740,89019,"Normal"
"425",55,150,211,679,2156,4524,8063,11317,15964,23351,28328,33494,39728,44808,50995,57299,64123,70633,77425,83776,88492,91267,95801,96397,"Normal"
"428",1530,2251,2668,4115,6122,9370,12565,21109,26003,31773,36967,45681,50907,59720,66440,72946,80499,87084,96342,101669,105838,109173,110415,111522,"Bad"
"429",0,58,58,459,1741,3316,7242,10017,15631,18862,25495,30161,35481,38496,42969,46762,50562,57581,63502,68602,73905,76547,77799,78747,"Normal"
"430",468,643,649,818,1353,2944,5159,7226,9471,13244,15867,18765,22621,26866,31609,37235,42704,48157,52905,58323,61585,63359,65129,65918,"Good"
"431",31,56,61,324,1233,2379,4000,7324,14704,20738,24685,32389,37202,42335,47507,52399,58937,65131,71078,75495,78330,81305,83154,83592,"Normal"
"432",25,115,139,2522,3768,5012,7310,11638,15123,18014,21423,25994,30447,33951,37876,42059,46940,52598,56456,60977,64677,68102,69712,70579,"Good"
"433",658,720,773,1048,2035,4222,7743,10546,15967,22353,29996,39291,50966,58823,67166,75709,84238,90077,99907,106925,113042,116813,116813,118980,"Bad"
"434",1499,3909,4434,5171,6228,8016,10372,14298,22549,28958,36398,42878,50256,57994,66965,75095,84957,94502,105140,115157,119426,126694,133049,135514,"Bad"
"436",1042,1045,1050,1436,1955,3512,5763,8239,11689,14647,17637,22403,25078,30221,34819,39511,42491,46829,51285,54684,57569,59486,60306,60488,"Good"
"437",522,583,657,1272,1804,3841,8823,13373,19015,22505,31943,37110,44002,50531,58685,65619,71138,78753,85241,92459,96602,98640,99524,99872,"Normal"
"439",824,1767,2459,2974,4485,6899,13256,17900,24584,29133,32864,40573,47388,54619,62686,69172,76208,82895,89431,97934,106061,113188,116725,118943,"Bad"
"440",2273,3545,4372,5117,5329,10164,13292,16251,22242,27912,33788,38756,47523,52083,56055,59806,63123,66823,70488,74318,76564,79128,79903,80178,"Normal"
"441",125,129,191,439,2554,3404,4522,5905,9006,10549,14767,16866,20812,22755,25736,29848,32419,35426,39287,40988,42246,43797,44764,45105,"Great"
"442",133,167,207,437,901,1553,2489,3712,6164,9516,11293,12890,14031,15604,17786,20778,23358,24942,26617,28993,29729,30631,31221,31825,"Great"
"443",8,52,68,1415,1654,2166,3653,7774,10810,12012,14150,16345,18089,19371,22107,23418,25172,26344,28250,29165,30367,31242,31806,31809,"Great"
"444",185,204,253,495,747,1413,3365,4373,6550,7851,9440,12181,15006,17351,20112,22809,25541,29049,30975,35156,37468,37964,38843,39745,"Great"
"449",923,1342,1488,1669,3319,4157,6168,9407,11734,14056,17928,21420,24461,28665,33512,38991,43507,46530,51831,57783,61874,64552,66927,68040,"Good"
"450",559,985,1180,1467,1860,4607,7060,8946,10868,13107,17767,21017,23848,27169,30750,34077,37029,40268,42639,44627,46681,47461,48371,48566,"Great"
"453",614,641,664,772,1123,2329,4744,6943,8959,11311,13943,15941,18586,21548,23771,27245,30175,32897,36063,39029,42200,43982,48047,48790,"Great"
"454",814,1201,1492,1732,1986,2647,4819,7633,9882,11142,12414,14138,16497,18178,20511,22235,24281,27989,31016,34223,35495,36432,36949,37196,"Great"
"455",542,900,903,1045,1531,2285,4128,6952,8912,10295,13882,17815,20852,24007,27816,30751,35726,39742,44438,47332,51572,52549,53757,54198,"Good"
"456",537,813,881,1059,2489,7439,14025,19284,25285,28745,34432,38748,42249,46796,50592,54854,58243,61931,65705,68638,71774,74249,74914,75087,"Good"
