X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Cluster
320,320,335,606,712,3104,4538,6227,7195,8711,10226,11491,13496,14443,16192,16731,18055,18861,20306,21490,22818,23468,23468,23921,Good
362,368,475,822,1232,2090,3516,5060,7136,8306,12384,14252,16060,18282,20249,22884,24894,26698,28186,30736,32030,34523,35648,36369,Good
31,94,158,477,1080,1889,3377,4828,6430,7975,10707,12399,15100,18289,21056,24038,27635,31454,35491,38772,42059,43756,45366,46473,Normal
369,541,651,1525,1996,4130,5106,6278,9122,10901,13143,14872,16835,19068,21183,23691,27056,29974,33042,34687,36451,37499,38573,39171,Good
654,668,711,875,1913,3628,6634,9561,11943,14298,18026,21515,24038,27526,31791,35711,41192,47228,52666,58873,63237,67191,68882,69595,Normal
130,480,503,2784,7339,11774,16216,22278,27921,34937,43612,50928,58843,67151,74391,81257,87401,94449,100898,106142,109010,110688,112097,112351,Bad
543,650,666,1984,6933,12171,15989,20382,25020,30408,35554,40129,45683,51759,56733,62334,69061,75460,81801,87415,92686,96019,97639,98249,Bad
307,547,637,791,1245,2764,4376,7131,10821,13198,15627,18255,21676,24727,28110,31014,34208,37591,40636,43450,45441,47233,48408,49134,Normal
0,222,226,423,529,1911,3573,6039,9364,11296,12647,16879,17956,19616,20781,22070,24492,25683,28009,29296,30411,30869,31345,31350,Good
0,23,23,156,406,1564,3213,4272,5062,6340,7516,9484,11297,13920,15696,17935,19998,22047,24165,25793,27127,28318,29193,30135,Good
26,184,272,599,954,1746,2275,3574,4869,7108,8590,10551,12235,13895,15330,17474,19938,21170,22429,23436,24629,25095,25810,26083,Good
6,13,83,170,427,2138,3393,4743,6641,8879,10365,12759,15992,18265,19906,22693,25202,27622,29895,32945,34694,35653,36994,37080,Good
53,1328,1340,1525,2114,5398,8611,12447,14651,16460,19609,23315,25830,28432,32272,36076,39232,41790,45715,47951,51002,52664,52999,53216,Normal
5,36,227,449,732,1296,3239,4635,7201,9953,12967,14773,16898,18440,19883,21700,22666,24246,25224,26394,27554,28009,28372,28372,Good
0,0,3,23,135,1188,1719,2544,3460,4477,6036,7277,8765,9817,11442,13078,15723,17843,20527,23880,25099,29287,29805,31145,Good
437,590,638,2074,3410,5836,10476,16725,25221,31641,37528,47339,54087,64248,71748,79648,86941,95470,104175,112007,118107,122700,124049,124718,Bad
3,17,35,1330,1799,5109,8356,11848,16648,21286,26265,30479,36555,43517,49649,57837,65868,74036,85358,95102,104515,111951,114819,116838,Bad
594,606,1276,3109,4744,8097,13349,18466,23213,29043,35338,40477,48092,56153,67128,76978,85235,95263,102639,110902,117007,120914,122045,122779,Bad
0,0,59,607,1270,3294,6093,8864,13305,15731,19031,22142,24349,26475,29396,31810,34653,37087,40187,41902,42759,44470,45712,46019,Normal
406,457,501,890,1307,2314,3289,4560,7529,9321,12313,14342,16133,18069,20172,22400,24736,25934,28341,29359,30557,31552,31888,31923,Good
429,472,512,610,787,2433,4344,5609,7211,9427,11761,13928,16179,17760,21146,24755,28180,31539,35748,40303,45594,50525,53404,55559,Normal
2144,2344,2857,3582,5342,8270,9627,11596,18504,25105,29254,34317,37394,42253,45843,49140,51532,55054,58688,62250,65071,65810,66422,66704,Normal
1819,2443,2957,4417,6000,8370,11400,14533,22351,25300,28333,31634,35035,37524,40954,43924,46909,50103,51945,54500,55604,57950,58144,58229,Normal
0,0,40,235,1415,3506,4915,7170,8151,10585,11854,14092,15646,17738,19088,21279,23152,24982,26933,29058,30799,31885,32272,32624,Good
11,156,217,509,897,1520,2348,3558,4816,6055,8321,10391,13237,15594,18973,23215,26795,30355,33361,36218,38430,40315,41694,42321,Good
0,17,30,177,335,646,1075,1576,1935,2864,4269,5140,6742,8598,9548,10451,11803,12282,13015,13640,13849,13930,14552,14552,Good
0,2,20,86,348,625,818,1281,1927,2574,3643,4893,6239,8240,10652,13343,15846,18377,20887,22537,24489,26524,26855,26980,Good
594,613,722,846,1190,2371,4483,5836,7237,8306,9806,11320,13003,14507,16079,17408,18671,19915,20751,22250,23054,23562,23875,23905,Good
500,500,598,797,1053,1900,3874,6436,9907,12633,16280,20334,24597,29882,35048,41497,48403,56469,62386,71230,77685,81271,82469,83899,Normal
582,594,649,1399,2476,3878,5738,7617,9857,11498,13767,15766,17379,19174,22082,24759,28034,30022,32201,34254,35404,35762,36376,36517,Good
439,462,543,743,1132,2141,2737,3700,5730,6835,8877,11078,13094,16480,20059,24795,29405,33390,38786,42858,45839,46656,47439,47737,Normal
179,186,226,1039,1255,1553,4087,6018,8245,12149,14573,16426,18698,20236,21678,22433,22984,23553,23965,24443,24932,25243,25289,25477,Good
95,95,105,134,426,632,827,1325,1788,3085,4093,5246,6512,7785,9704,11444,13137,14344,15918,17020,18607,20033,20607,20722,Good
284,334,373,594,960,2276,5014,6226,7827,10818,12463,14600,17052,20115,22390,26445,29708,32322,35308,38047,40186,41372,42517,42860,Good
117,131,237,319,390,770,2615,4691,5291,7011,7674,8335,8599,9249,10011,10610,11347,12554,13257,13729,14466,15599,16295,16312,Good
654,668,708,914,1125,1787,2212,3980,4747,5913,7276,8279,9277,10941,12843,14958,17667,19459,21350,23584,25836,26923,27440,28141,Good
171,190,272,451,634,1407,2084,3565,5159,6534,9874,11127,13324,14706,17154,19725,22444,25879,28060,31360,33197,34914,36680,37232,Good
257,289,345,537,887,1648,3579,4456,6912,9236,11068,13437,16028,19485,23894,29545,36277,43589,52325,66439,77520,87351,92033,93490,Bad
