"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","Cluster"
"683",69,83,297,753,3028,4033,5937,7657,10603,12545,15376,18821,22377,26054,29437,34607,38716,43568,48709,51619,56046,57729,59218,59440,"Good"
"684",20,35,353,786,1443,3626,5688,7662,10222,13515,18889,22015,25251,28795,32477,36701,42013,48653,53324,55874,60777,62719,64603,65239,"Good"
"686",60,84,179,470,1015,2131,3729,5866,10379,13901,16753,21926,24955,29217,33129,37452,43575,47029,52508,56675,59588,61065,61769,62010,"Good"
"687",0,102,318,613,1284,2582,4358,9505,13008,18525,23873,27462,31588,36513,39703,44955,49844,56101,62181,68533,73104,75417,76637,77529,"Good"
"689",122,146,413,848,2872,3985,5412,7250,9038,10873,13448,15405,18460,21442,24434,29592,32639,37055,41000,44390,47826,48856,50041,50474,"Great"
"690",52,218,361,570,882,1373,2524,4149,5471,7245,10143,12514,14320,17937,20445,24459,28647,32829,37289,41986,46362,49019,49846,50034,"Great"
"691",58,127,269,583,1948,3404,6228,12211,14400,17859,20655,24643,26982,31051,35210,39423,43093,47025,51033,55613,58040,61410,63130,63196,"Good"
"692",213,281,1361,1885,2518,3633,6938,8789,10578,11896,14868,18211,20042,22528,24555,27078,31723,35773,40321,44221,48130,52328,53985,54546,"Great"
"693",286,566,798,1389,2289,3068,6630,8915,12474,15195,17556,19544,21995,25795,28886,31764,33957,37766,40229,43355,45266,46511,47161,47873,"Great"
"694",303,1300,1368,1578,1942,2847,4370,6055,9107,10828,14991,16350,19234,22572,24500,28238,31301,35063,39302,40937,43239,44969,46796,47190,"Great"
"699",52,64,134,603,1074,2897,6453,10085,13413,18439,23125,28151,34008,39687,43620,51319,56942,63080,70377,76763,81837,86994,88972,90800,"Normal"
"700",1059,1671,2069,2945,4929,8378,11384,17874,23167,29290,35097,41638,50259,58019,66684,79702,88535,103356,115951,131769,144007,155534,160430,162823,"Bad"
"703",62,286,306,669,1432,3630,4735,5994,7632,10622,12993,16096,18092,20631,22933,26262,30601,34017,36904,39730,41994,43604,44518,44784,"Great"
"704",380,439,520,644,1271,2065,3928,5994,9025,12146,15912,18964,21587,24853,27918,30366,33597,36979,38941,42164,44466,46918,47573,47911,"Great"
"705",228,265,455,864,1371,2320,4519,7522,10028,12148,15222,18103,21677,25575,29400,33825,37814,40587,45332,48675,51847,54152,56116,56171,"Great"
"706",428,535,574,846,1060,1677,3157,4856,7171,8318,9566,11651,13455,15673,16987,18678,20328,22558,23566,24936,26731,28318,28743,29440,"Great"
