X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Cluster
0,5,11,14,14,16,78,265,330,414,503,606,841,1160,1337,1513,1698,1849,1993,2204,2398,2684,2801,2917,Good
21,29,288,293,296,322,415,668,859,897,972,1076,1165,1440,1603,1907,2142,2348,2555,2867,3021,3097,3097,3233,Good
465,896,912,933,935,1002,1133,1354,1524,1761,2042,2301,2641,2842,3095,3549,4049,4687,4988,5671,6014,6274,6860,6939,Good
15,109,141,156,262,349,479,804,1074,1573,2001,2528,3409,4011,4396,5058,5243,5735,6259,7158,7625,8084,8397,8504,Good
293,448,496,516,525,572,711,806,1031,1641,1872,2595,3346,3687,4580,5079,5240,5821,6155,6452,6918,7079,7247,7516,Good
12,14,30,55,161,211,343,771,1380,1690,2144,2269,2666,3084,3372,3868,4091,4525,4909,5213,5717,6396,6799,6941,Good
369,456,512,708,725,758,985,1298,1639,1885,2474,3113,3707,4392,5015,5390,5702,6512,7302,8099,8358,9046,9362,9661,Good
124,320,335,359,400,444,665,908,1445,1868,2682,3189,4162,5210,6251,7084,8376,9103,10466,11523,12910,14454,15132,15949,Normal
356,444,478,482,559,659,814,983,1505,1699,2272,2949,3639,4486,5172,6330,7161,7784,8640,9382,9956,10490,11082,11255,Good
13,65,326,331,345,539,641,938,1596,2049,2399,2842,3183,3875,4065,4370,4580,4852,5379,6120,6827,7017,7178,7377,Good
0,16,36,53,142,250,350,570,610,843,1284,1997,2567,3079,3545,3891,4315,4744,5072,5578,5793,6334,6681,6843,Good
104,197,215,215,272,356,418,503,802,1074,1609,2011,2712,3121,3534,4212,4653,5190,5448,5847,6233,6670,6951,7326,Good
27,52,109,131,131,216,322,352,508,629,1082,1398,1741,2113,2388,2755,3000,3213,3400,3667,4056,4388,4589,4712,Good
31,85,108,109,130,147,191,343,603,820,1353,1767,1973,2123,2275,2800,2960,3415,3523,3962,4362,4853,5107,5231,Good
12,12,13,13,13,27,141,315,611,788,1088,1191,1472,1914,2071,2636,2782,2911,3227,3596,3912,4028,4361,4656,Good
26,26,32,32,37,86,197,311,505,822,1136,1510,1931,2226,2521,3060,3415,4016,4736,5399,6059,6589,7170,7453,Good
83,113,115,122,237,294,502,814,1324,1868,2263,2863,3444,4250,5231,6279,7226,8016,8696,9630,10243,11378,12271,12452,Normal
126,131,152,223,232,354,551,706,1021,1207,1484,1691,2250,2871,3143,3534,4118,4774,5580,6416,6968,7381,7944,8277,Good
77,77,124,170,229,371,440,605,747,1194,1840,2228,2954,3312,4064,5079,5960,6613,7490,8170,9392,10473,11275,11860,Normal
51,436,458,500,582,609,770,1014,1209,1638,1896,2335,2736,3059,3488,3806,3973,4584,5206,5826,6214,6551,6831,7132,Good
292,303,323,362,421,499,732,898,1461,1768,2273,2656,3451,3894,4812,5393,6096,6609,6947,7611,7889,8170,8428,8788,Good
17,25,92,200,303,405,542,705,1098,1417,2100,2474,3326,4188,5219,5951,6741,7548,8121,8717,10000,10877,11574,11704,Normal
276,347,392,570,590,690,865,1086,1470,1681,1940,2509,2858,3498,3943,4359,4660,5154,5551,5876,6111,6552,6704,6758,Good
36,79,145,152,201,283,452,739,946,1291,1750,2395,3147,3934,4391,5016,5544,6420,7141,8072,9511,10669,11432,11965,Normal
232,250,438,459,512,631,961,1172,1695,2396,3578,4528,6073,7518,10096,11999,13344,14879,16291,17865,19509,22036,23599,24176,Meltdown
254,923,981,1103,1147,1254,1603,1916,2284,2842,3629,3956,4795,5305,5677,6228,6773,7173,7605,8565,8839,9204,9933,9946,Good
38,38,47,49,164,313,558,641,702,872,1126,1443,1717,2454,2676,3317,3455,3712,4016,4519,4887,5153,5552,5664,Good
132,135,137,160,200,282,373,668,989,1480,1706,1986,2607,3122,3422,3993,4232,4922,5311,5582,5692,6265,6564,6623,Good
0,7,31,61,70,84,191,502,763,1014,1388,1566,1934,2204,2533,2942,3476,3654,3973,4087,4221,4530,4628,4697,Good
188,197,219,227,236,241,403,515,593,845,1304,1506,2304,2948,3872,4823,5267,5522,5911,6550,6846,7276,7360,7505,Good
179,427,445,534,565,623,737,1034,1248,1526,1787,2358,2764,3505,4173,4632,5371,6154,6664,7195,7593,8197,8541,8661,Good
34,42,54,73,94,261,307,540,804,1046,1385,1949,2602,2930,3365,4058,4246,4608,5214,5592,6935,7711,8158,8354,Good
132,263,289,340,454,501,550,703,774,1253,1565,1964,2596,3256,3710,4504,4883,5487,5946,6496,7260,7959,8239,8519,Good
5,20,103,159,205,256,416,757,1310,1902,2795,3411,4378,5108,6020,6787,7483,7992,8599,9368,10002,10420,10841,11050,Good
37,48,72,122,299,384,537,1037,1280,1514,1684,2067,2797,3168,3952,4577,5495,6390,6755,7213,7520,7776,7936,8250,Good
33,117,133,144,160,269,303,509,724,954,1114,1431,1859,2310,2785,3609,3919,4396,4672,5156,5687,6485,6777,7011,Good
251,263,275,308,378,562,743,1020,1318,1604,2235,2662,3434,4028,4791,5617,6192,6879,7117,7467,8149,8674,9088,9189,Good
70,89,112,147,186,315,649,827,1197,1532,1650,2072,2436,2773,2971,3158,3599,3783,4190,4592,4662,4939,5148,5394,Good
8,328,347,361,383,446,584,624,815,1025,1147,1800,2220,2675,2836,3306,3705,3993,4297,4720,4913,5374,5514,5555,Good
129,155,194,208,888,1079,1208,1408,1757,1825,2292,2674,3646,3853,4328,5473,6031,6306,6935,7725,8351,8976,9795,10260,Good
17,73,163,341,392,453,734,1104,1376,1661,2245,2739,3716,4334,5188,6225,7284,8009,9090,11326,12085,13092,14430,14947,Normal
56,208,376,470,499,600,871,1044,1364,1890,2593,3150,3881,4730,5734,6367,7048,7662,8454,9145,9588,10202,10489,10782,Good
2,34,47,61,77,281,387,515,648,806,1067,1275,1575,1871,2047,2404,3025,3352,3868,4629,5090,5251,5374,5484,Good
0,11,67,78,110,214,314,505,634,825,1049,1377,1936,2457,2904,3800,4589,5374,5635,6198,6940,7687,8064,8517,Good
0,58,103,122,211,435,631,730,910,1280,1723,2316,2883,3344,3712,4288,4874,5734,6386,7096,7754,8544,9099,9271,Good
488,527,824,894,920,1088,1359,1602,2010,2375,2678,2981,3889,4557,5078,5637,6338,7107,7539,8938,10433,10994,11701,11861,Normal
211,272,346,481,523,704,1062,1445,1764,2079,2460,2766,3607,3987,4293,5123,5699,6451,6789,7294,8231,9564,9927,10075,Good
470,508,748,797,939,1174,1641,2275,2426,2873,3556,4132,4857,5480,5928,6587,7530,8548,9184,10421,11591,12670,13481,14085,Normal
414,444,528,628,685,854,1257,1492,1939,2522,3101,3899,4839,5341,6504,7752,8651,9642,10820,12280,13841,15547,16161,16529,Normal
347,488,672,792,823,1052,1322,1813,2822,3497,3880,4367,5045,5524,6384,7236,8278,8636,10383,11202,11957,12768,13328,13519,Normal
48,74,84,222,340,597,914,1188,1599,1917,2451,2912,3384,4104,4713,5534,5889,6691,7581,8406,10014,10718,11407,11683,Normal
108,194,298,531,633,711,1143,1633,1751,2348,2838,3204,3719,4436,4988,5565,6219,6857,7875,8662,9259,10126,10445,10932,Good
0,55,126,204,268,329,579,961,1317,2124,2646,3410,4205,5035,5568,6532,7171,8308,9304,11294,12264,13277,13906,14314,Normal
0,44,122,152,182,222,368,602,865,1047,1286,1376,1624,2000,2285,2680,3195,3869,4538,5184,6110,6745,7425,7737,Good
12,286,348,442,540,584,615,895,1315,1791,2114,2456,2865,3446,4131,5389,6235,7555,8859,9895,11039,12060,12960,13753,Normal
0,311,449,470,521,697,908,1232,1485,1961,2325,2728,3117,3591,4066,4463,5167,5623,6126,6721,7108,7343,7534,7621,Good
2,8,33,47,117,174,213,435,1311,1519,1907,2244,2677,3072,3435,3918,4232,4436,4923,5221,5510,6016,6370,6646,Good
0,1,12,58,133,265,340,648,867,1045,1314,1405,1646,1954,2404,2937,3553,4140,5011,6013,7181,7968,8624,9101,Good
152,162,263,324,414,477,708,925,1172,1288,1451,1593,1803,2288,2806,3260,3707,4286,5132,5696,6019,6389,6540,6596,Good
2,61,106,109,130,142,406,545,852,1048,1308,1581,1813,2206,2871,3391,4079,4665,5153,6024,6612,7101,7641,7891,Good
57,129,435,543,583,659,824,1248,1809,2328,3006,3441,4016,4480,5109,5484,6267,6814,7748,8549,9198,9592,10000,10364,Good
127,191,200,220,224,294,608,1018,1481,1791,2201,3026,3947,4435,4910,5602,5954,6667,7612,8439,9342,10371,11197,11522,Good
311,354,459,493,635,723,1048,1341,1646,1950,2718,3476,4072,5294,6103,6951,7760,8832,9781,10415,11514,12232,12940,13504,Normal
319,367,531,733,807,902,957,1350,2395,2869,3677,3947,4681,5147,5734,6190,6522,7650,8143,8928,9175,9756,10493,11061,Good
127,132,132,161,174,314,400,777,1287,1950,2690,2909,3288,3581,4029,4414,5595,6288,7430,8336,9314,10868,12336,12961,Normal
135,156,231,249,255,357,485,803,1321,1910,2398,2729,3102,3482,3729,4309,4626,5155,5610,6031,6565,6834,7453,7611,Good
75,135,297,360,468,515,569,979,1613,2130,2870,3255,4225,5052,6016,6898,8126,9209,9864,11035,12619,13955,14428,14874,Normal
661,887,1157,1292,1469,1488,1651,1778,2111,2955,3536,3799,4362,5122,5743,6289,6774,7233,7819,8725,9244,9626,9782,10034,Good
63,85,173,302,370,385,555,758,971,1164,1438,1706,2091,2418,2747,3172,3799,4124,5036,5935,6523,7110,7677,7956,Good
26,115,180,297,364,559,747,1038,1320,1644,2055,2580,3114,3870,4332,4955,5551,6291,7381,8111,9551,10228,11185,11901,Normal
21,100,233,400,486,574,720,967,1376,1690,2014,2351,3033,3556,3940,4723,4978,5650,6192,6535,7258,7585,7950,8031,Good
280,297,360,385,426,505,665,908,1247,1656,1853,2234,3214,3802,4431,5242,5691,6568,7345,8350,9262,10552,11534,12165,Normal
7,40,59,89,190,405,542,857,1041,1397,1668,1892,2148,2734,3203,3701,4155,4466,5034,5529,6046,6401,6748,6807,Good
420,440,527,564,798,913,1136,1412,1800,2220,2486,2814,3315,3880,4256,4916,5416,6492,6987,7716,8956,9986,10891,10982,Good
674,737,829,863,889,906,1087,1313,1514,2005,2348,2771,3163,3609,4107,4549,5207,5954,6694,7294,7893,8601,8866,8904,Good
135,190,236,392,464,513,609,904,1240,1678,2097,2987,3606,4135,4562,5216,5850,6296,6681,7029,7310,7676,8063,8103,Good
41,58,82,156,243,305,450,681,1133,1471,2042,2456,2651,3205,3642,4102,4620,4957,5106,5708,6211,6578,6811,6931,Good
16,183,230,252,298,437,505,807,1114,1527,1937,2289,2502,2966,3513,3824,4310,4690,5502,6518,7553,8182,8679,8768,Good
19,31,219,304,384,513,560,980,1322,1536,2017,2431,3227,3856,4243,4526,4660,4838,5045,5476,5653,5885,6012,6057,Good
0,17,22,175,204,297,538,730,1033,1191,1506,1772,2176,2585,2883,3329,3937,4415,5051,5703,7029,8297,8537,8967,Good
150,199,233,353,447,479,731,938,1094,1584,1895,2197,2680,3708,4111,4667,5009,5498,6325,6910,7513,8267,8620,9006,Good
0,41,59,59,65,170,410,598,762,912,1082,1254,1632,1930,2253,2695,3309,4101,4532,5093,5456,5806,6087,6330,Good
33,270,348,413,490,543,604,891,1395,1733,2345,2680,3552,4158,4460,5142,6024,6734,7614,8273,9038,9634,10365,10578,Good
405,476,526,574,631,699,773,1194,1723,2320,2901,3297,3720,4234,4554,5058,5531,5975,6451,7003,7345,7733,8166,8408,Good
1,22,110,303,342,397,548,1097,1507,1734,2213,2629,3013,3915,4331,4862,5252,5620,6054,6392,6866,7556,8290,8344,Good
8,20,85,178,332,436,608,721,843,1056,1387,1594,2083,2610,3132,3989,4706,5369,6015,6924,7926,8859,9717,10247,Good
291,404,621,875,960,1050,1327,1779,2187,2368,2879,3187,3958,4358,4787,5674,6105,6939,7738,8365,9004,10020,10399,10657,Good
699,719,1143,1322,1349,1418,1602,2254,2983,3365,4100,4665,5506,6438,7333,8344,9187,9895,10553,11217,12265,12954,13436,13587,Normal
25,209,410,437,595,686,1054,1751,2365,2905,3709,4219,4856,6030,6907,7895,8648,9469,10322,11054,12109,12810,13400,13870,Normal
227,528,598,630,761,780,1003,1169,1517,1692,2003,2289,2845,3772,4636,5665,6442,7097,7854,8807,10867,12615,13371,14230,Normal
601,617,688,1250,1343,1470,1680,2026,2421,3009,3527,4084,4707,5539,7041,7602,8314,9865,11242,13018,14223,16385,16972,17592,Normal
312,707,833,896,996,1035,1112,1374,1689,2308,3131,3396,4225,4978,5844,6822,7777,8620,9441,10184,11922,13621,14412,15207,Normal
559,602,670,859,897,905,1020,1330,1732,2079,2717,3261,4328,4966,5434,6630,7619,8782,9558,11082,12426,13325,14717,15335,Normal
431,437,504,524,554,592,783,1302,1649,1939,2504,2855,3315,3975,4582,4966,5325,5835,6458,7090,7894,8811,9571,11055,Good
177,188,437,558,572,628,751,1214,1531,2079,2983,3430,3948,4910,5615,6770,7719,9031,10113,11175,12522,13206,15821,16322,Normal
770,909,1084,1089,1180,1254,1415,1902,2411,2749,3653,4406,4758,5316,6163,7050,7343,8101,8508,9421,9741,10303,10672,10824,Good
147,254,314,320,384,401,654,910,1286,1641,2053,2512,3024,3401,3993,4972,5476,6154,6685,7915,8290,8769,9394,9927,Good
28,392,429,449,539,701,823,1350,1903,2500,2989,3419,4352,4793,5357,5806,6101,6498,6865,7774,8578,9063,9709,10025,Good
14,38,52,93,136,207,423,846,1434,1873,2778,3417,4300,6544,10358,12895,15911,19173,22504,24660,27383,29844,32616,34168,Meltdown
512,792,863,989,1010,1365,1583,2179,2914,3508,4349,5307,6081,7218,8686,10133,11615,12942,14514,15922,18463,20984,21968,22776,Normal
862,1348,1817,1878,1896,1967,2147,2588,2999,3720,4257,4469,5119,5525,6129,6466,6855,7425,7944,8514,8838,9114,9232,9378,Good
56,67,118,146,230,298,371,626,982,1187,1401,1645,1880,2477,3018,3792,4390,5284,5879,6664,7167,7851,8168,8333,Good
564,793,811,935,952,1030,1199,1383,1564,2035,2432,2996,3372,3755,4078,4487,4923,5547,5902,6802,7469,8217,8853,9064,Good
31,165,195,219,247,270,389,623,899,1252,1898,2535,3405,3964,4683,5734,6479,7807,8921,10276,12105,13354,14776,15482,Normal
27,198,257,437,469,537,646,858,1062,1232,2345,2704,3336,4407,5217,6025,6923,8119,9110,9895,11114,12428,13031,13711,Normal
694,724,810,937,965,1019,1121,1494,1748,2127,3133,3952,5190,6199,7382,8773,11538,12916,14761,16283,18185,21336,23416,24647,Meltdown
158,419,574,625,809,982,1326,1899,2767,4296,5289,6689,7903,9054,10541,12117,13356,14619,15623,17386,19209,21393,22709,24348,Meltdown
730,1556,1636,1875,2032,2115,2417,3141,3889,4677,5707,6591,7843,9737,11013,12329,13713,15104,16023,17562,18731,20161,21394,22166,Normal
362,781,818,828,936,1052,1195,1589,1847,2239,2420,2988,3469,4068,4604,4879,5165,5451,5820,6331,6754,7140,7516,7725,Good
17,27,107,144,216,237,360,562,988,1738,2810,3472,4837,5827,6646,7964,9370,10124,10724,12644,14403,16274,19987,21753,Normal
721,806,935,1079,1134,1210,1398,1825,2402,2869,3596,4645,6018,7682,9215,10567,12604,14469,16492,18562,21440,23763,26206,28029,Meltdown
720,800,833,949,1022,1081,1233,1649,2595,3181,4217,5504,6873,8143,9751,11588,13280,15493,17428,20306,23232,26412,28945,30396,Meltdown
370,759,763,815,966,1010,1281,1762,2533,2923,3714,4640,5458,6704,7523,8289,8958,9550,10812,12035,13654,15181,16235,16707,Normal
147,343,432,588,641,933,1110,1661,2575,3007,4348,5486,6595,8004,9732,10992,11936,12825,14185,15451,17039,17804,18408,18676,Normal
309,326,439,483,638,784,1025,1364,1858,2615,3487,4458,5939,7264,8214,9003,9664,10519,11421,11990,12488,13100,13890,14348,Normal
381,569,605,614,641,761,1002,1468,1827,2420,3537,5671,8778,11649,14674,17357,19656,22777,24087,26283,28949,30211,32232,33055,Meltdown
158,175,504,554,600,749,1228,1718,2183,2512,3683,4052,4978,5355,6145,6869,7257,8412,9299,10419,10862,11747,12178,12463,Normal
244,537,655,671,1167,1386,1732,2151,2357,2563,3034,3441,3870,4337,4860,5618,6156,6716,7151,7934,8483,8884,9291,9613,Good
176,198,240,251,280,356,679,1082,1306,1783,2458,2658,2966,3773,4626,4857,5214,5568,6073,6689,7097,7525,7961,8735,Good
95,530,658,753,768,868,1252,1857,2752,3522,4414,4980,5450,6317,6925,7566,8178,8550,9588,10374,11236,11879,12372,12739,Normal
75,308,334,368,379,531,639,920,1234,1461,1674,1980,3336,3680,4289,4787,5321,5872,6205,6830,7276,7385,7537,7872,Good
123,154,211,211,221,266,492,950,1026,1151,1234,1446,1901,2481,2644,3104,3775,4163,4940,5897,6138,7032,7549,7929,Good
127,132,154,155,233,363,505,896,1173,1577,2119,2632,3015,3521,3998,4508,4896,5384,5790,6084,6894,8341,9022,9354,Good
13,34,339,347,349,443,508,975,1318,1897,2510,3384,4132,4974,6127,7156,8339,8959,9671,10620,11808,12523,13416,13885,Normal
213,215,318,336,357,406,623,1314,1613,2535,3376,4018,4609,5191,6193,7004,7354,7737,8111,8853,9524,10050,10068,10280,Good
12,12,62,100,190,283,473,937,1405,2380,3211,4034,4699,5318,6413,7409,7983,9126,10198,10896,12128,13403,13952,14070,Normal
213,215,234,301,313,349,402,657,845,1572,2095,2711,3404,4014,4673,5442,6166,6844,7393,8207,8692,9477,10035,10370,Good
56,56,69,192,213,233,356,839,1347,1866,2644,3907,5412,6694,8364,9293,10612,11745,13294,14260,15333,16460,17504,17675,Normal
149,163,234,329,367,437,488,818,1167,1502,2161,2719,2967,3679,4126,4684,5120,5698,6236,6910,7261,7398,7464,7932,Good
89,327,332,338,360,417,441,656,815,1210,2068,2634,3140,3793,4359,4939,5611,5889,6969,7507,8068,9041,9503,9722,Good
23,23,56,70,70,148,185,643,1176,1522,2238,2540,3056,3549,3965,4648,5440,5843,6752,8225,9011,9749,10191,10501,Good
0,8,8,8,17,101,202,465,732,1062,1373,1556,1792,2167,2390,2892,3080,3359,3572,4117,4350,4687,4898,5028,Good
425,455,477,477,526,556,668,971,1379,2106,3193,4566,5695,6562,7597,8429,9590,10442,10844,12575,13289,14375,15932,16440,Normal
415,655,660,660,704,753,801,1137,1490,1990,2582,3401,4054,4835,5341,6074,7063,7522,7809,8425,8590,9002,9013,9195,Good
37,50,66,69,153,248,397,769,1069,1459,2074,3103,3813,4705,5171,5804,6222,6416,6889,7361,7832,8274,8357,8645,Good
26,80,134,138,161,221,328,763,1021,1303,1785,2005,2324,3017,3323,3632,3986,4693,5262,5629,6395,6959,7299,7414,Good
85,85,96,130,153,177,238,415,550,788,1251,1428,1604,2259,2974,3616,3907,4486,4831,5391,6066,6600,7037,7369,Good
37,223,244,364,376,488,665,1229,1850,2177,3240,3753,4717,5813,6638,7861,8280,9224,10274,11524,12815,13486,14029,14693,Normal
2,4,22,22,110,132,384,760,1225,1606,2314,2894,3707,4029,4462,5142,5572,6069,6751,7558,8628,9432,9776,9993,Good
194,513,518,526,599,640,689,1187,1532,1874,2850,3003,3663,4073,5042,5396,6006,6222,6675,7519,8128,9237,9998,10381,Good
